_id__$oid,battery,height,volume,temperature,ReadingDateTime,environment,DATE,TIME,HOUR,,Hourly_averge_flow ,,
5da5e3a12d5503000d311de0,null,90,9000,null,10:37:14 AM,,10/20/2019,10:37:14 AM,10,10:37 AM,9000,,90
5da5e5f92d5503000d311df2,null,90,9000,null,11:37:14 AM,,10/20/2019,11:37:14 AM,11,11:37 AM,9000,,90
5da5e8542d5503000d311e02,null,90,9000,null,12:37:14 PM,,10/20/2019,12:37:14 PM,12,12:37 PM,9000,,90
5da5eaa82d5503000d311e0c,null,90,9000,null,1:37:14 PM,,10/20/2019,1:37:14 PM,13,1:37 PM,9050,,90
5da5ed002d5503000d311e2a,null,91,9100,null,2:37:14 PM,,10/20/2019,2:37:14 PM,14,2:37 PM,9100,,91
5da5ef582d5503000d311e3e,null,91,9100,null,3:37:14 PM,,10/20/2019,3:37:14 PM,15,3:37 PM,9100,,91
5da5f4092d5503000d311e66,null,91,9100,null,4:37:14 PM,,10/20/2019,4:37:14 PM,16,4:37 PM,9100,,91
5da5f6602d5503000d311e78,null,91,9100,null,5:37:14 PM,,10/20/2019,5:37:14 PM,17,5:37 PM,9100,,91
5da5f8bb2d5503000d311e82,null,91,9100,null,6:37:14 PM,,10/20/2019,6:37:14 PM,18,6:37 PM,9100,,91
5da5fd682d5503000d311eae,null,91,9100,null,7:37:14 PM,,10/20/2019,7:37:14 PM,19,7:37 PM,9150,,91
5da602182d5503000d311ecc,null,92,9200,null,8:37:14 PM,,10/20/2019,8:37:14 PM,20,8:37 PM,9150,,92
5da604712d5503000d311edc,null,91,9100,null,9:37:14 PM,,10/20/2019,9:37:14 PM,21,9:37 PM,9150,,91
5da606c82d5503000d311eec,null,92,9200,null,10:37:14 PM,,10/20/2019,10:37:14 PM,22,10:37 PM,9450,,92
5da609252d5503000d311efc,null,97,9700,null,11:37:14 PM,,10/20/2019,11:37:14 PM,23,11:37 PM,9450,,97
5da60dd02d5503000d311f1c,null,92,9200,null,12:37:14 AM,,10/21/2019,12:37:14 AM,0,12:37 AM,9250,,92
